trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.658 ± 6.875,4.623 ± 4.173,7.289 ± 6.801,5.437 ± 4.746,5.971 ± 5.267
BMI,JAPONICA,6.654 ± 6.232,4.153 ± 3.792,4.634 ± 4.028,4.611 ± 4.150,4.990 ± 4.207
BMI,UKB_WCSG,7.482 ± 6.908,3.427 ± 2.892,5.974 ± 5.420,3.130 ± 2.953,4.184 ± 3.691
BMI,CYTOSNP,4.626 ± 4.448,3.119 ± 2.784,4.725 ± 3.837,3.816 ± 3.417,4.217 ± 3.586
BMI,PMRA,6.654 ± 6.310,4.157 ± 3.705,6.373 ± 6.135,4.979 ± 4.557,5.609 ± 5.013
BMI,PMDA,6.309 ± 5.858,3.913 ± 3.245,6.294 ± 5.564,4.456 ± 4.103,5.041 ± 4.272
BMI,OMNI2.5,2.525 ± 2.528,2.021 ± 1.630,2.968 ± 2.496,2.092 ± 1.992,2.417 ± 2.136
BMI,OMNI5,2.132 ± 2.054,1.339 ± 1.139,2.115 ± 1.947,1.334 ± 1.354,1.671 ± 1.466
BMI,LPS_0.5,5.040 ± 5.034,4.028 ± 3.458,6.035 ± 5.250,4.636 ± 4.225,4.908 ± 4.362
BMI,LPS_0.75,4.173 ± 3.963,3.555 ± 3.247,5.528 ± 5.079,3.682 ± 3.282,4.331 ± 3.813
BMI,LPS_1.0,3.749 ± 3.542,2.756 ± 2.537,4.766 ± 4.064,3.329 ± 3.074,3.697 ± 3.204
BMI,LPS_1.25,3.491 ± 3.296,2.959 ± 2.512,4.249 ± 3.848,3.201 ± 3.020,3.352 ± 3.064
BMI,LPS_1.5,3.104 ± 3.033,2.604 ± 2.333,3.819 ± 3.452,2.711 ± 2.644,3.255 ± 3.084
BMI,LPS_2.0,2.899 ± 2.636,2.462 ± 2.224,3.599 ± 3.055,2.448 ± 2.113,2.879 ± 2.521
DIABETES,GSA,7.335 ± 6.928,4.209 ± 3.808,7.827 ± 7.331,4.537 ± 4.214,5.661 ± 4.870
DIABETES,JAPONICA,6.581 ± 6.521,3.457 ± 3.063,4.626 ± 4.337,4.046 ± 3.689,4.642 ± 4.185
DIABETES,UKB_WCSG,7.022 ± 6.811,3.245 ± 2.839,6.467 ± 5.821,3.017 ± 2.708,4.560 ± 4.315
DIABETES,CYTOSNP,4.691 ± 4.600,2.337 ± 2.300,4.587 ± 4.072,2.731 ± 2.395,3.724 ± 3.342
DIABETES,PMRA,6.350 ± 5.903,3.732 ± 3.731,6.742 ± 5.962,3.931 ± 3.644,5.525 ± 5.133
DIABETES,PMDA,5.880 ± 5.787,3.496 ± 3.118,6.441 ± 5.892,3.550 ± 3.038,4.751 ± 4.452
DIABETES,OMNI2.5,2.578 ± 2.472,1.623 ± 1.441,3.053 ± 2.721,1.759 ± 1.599,2.396 ± 2.168
DIABETES,OMNI5,2.305 ± 2.207,1.208 ± 1.158,2.422 ± 2.238,1.296 ± 1.216,1.998 ± 1.884
DIABETES,LPS_0.5,4.615 ± 4.475,3.528 ± 2.999,6.087 ± 5.135,3.714 ± 3.422,4.443 ± 4.194
DIABETES,LPS_0.75,3.931 ± 4.007,3.166 ± 2.765,4.981 ± 4.491,3.137 ± 2.768,4.056 ± 3.773
DIABETES,LPS_1.0,3.593 ± 3.442,2.408 ± 2.182,4.488 ± 4.247,2.763 ± 2.652,3.359 ± 3.070
DIABETES,LPS_1.25,3.393 ± 3.277,2.471 ± 2.220,3.957 ± 3.478,2.578 ± 2.227,3.051 ± 2.864
DIABETES,LPS_1.5,3.330 ± 3.197,2.040 ± 1.999,3.851 ± 3.549,2.454 ± 2.233,3.132 ± 2.746
