trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,7.166 ± 6.461,3.868 ± 3.437,6.544 ± 5.648,4.647 ± 4.168,5.129 ± 4.471
BMI,JAPONICA,6.157 ± 5.748,3.259 ± 2.937,4.111 ± 3.709,4.091 ± 3.764,4.649 ± 3.886
BMI,UKB_WCSG,6.398 ± 5.879,3.168 ± 2.807,5.790 ± 4.822,2.982 ± 2.795,3.581 ± 3.238
BMI,CYTOSNP,4.105 ± 3.947,2.535 ± 2.450,4.041 ± 3.588,3.116 ± 2.883,3.419 ± 2.797
BMI,PMRA,6.126 ± 5.827,3.553 ± 3.019,5.814 ± 5.109,4.186 ± 3.919,5.016 ± 4.509
BMI,PMDA,5.740 ± 5.256,3.306 ± 3.095,6.026 ± 5.074,3.775 ± 3.478,4.218 ± 3.696
BMI,OMNI2.5,2.399 ± 2.202,1.680 ± 1.525,2.594 ± 2.258,1.793 ± 1.766,2.146 ± 1.866
BMI,OMNI5,1.977 ± 1.846,1.149 ± 1.075,1.955 ± 1.774,1.260 ± 1.167,1.598 ± 1.375
BMI,LPS_0.5,4.341 ± 4.119,3.491 ± 3.215,5.294 ± 4.784,3.845 ± 3.333,4.154 ± 3.887
BMI,LPS_0.75,3.730 ± 3.530,2.888 ± 2.538,4.625 ± 3.911,3.218 ± 2.923,3.780 ± 3.458
BMI,LPS_1.0,3.402 ± 3.327,2.532 ± 2.427,4.248 ± 3.631,2.860 ± 2.650,3.097 ± 2.795
BMI,LPS_1.25,3.078 ± 3.004,2.170 ± 2.084,3.892 ± 3.384,2.800 ± 2.652,2.950 ± 2.552
BMI,LPS_1.5,2.924 ± 2.786,2.116 ± 1.847,3.312 ± 2.929,2.425 ± 2.104,2.707 ± 2.469
BMI,LPS_2.0,2.543 ± 2.533,1.971 ± 1.788,2.880 ± 2.436,2.165 ± 2.033,2.495 ± 2.345
DIABETES,GSA,7.176 ± 6.712,4.116 ± 3.573,6.837 ± 5.936,5.331 ± 4.699,5.265 ± 4.631
DIABETES,JAPONICA,6.690 ± 6.290,3.285 ± 3.034,4.035 ± 4.048,4.250 ± 3.986,4.572 ± 4.063
DIABETES,UKB_WCSG,6.633 ± 6.334,3.305 ± 2.771,5.496 ± 4.687,3.421 ± 3.456,4.522 ± 4.063
DIABETES,CYTOSNP,4.440 ± 4.319,2.344 ± 2.179,3.980 ± 3.600,2.886 ± 2.684,3.558 ± 3.250
DIABETES,PMRA,5.877 ± 5.343,3.692 ± 2.981,5.842 ± 5.068,4.201 ± 4.024,5.263 ± 4.759
DIABETES,PMDA,5.720 ± 5.027,3.244 ± 2.935,5.519 ± 5.030,3.894 ± 3.595,4.889 ± 4.234
DIABETES,OMNI2.5,2.584 ± 2.393,1.575 ± 1.454,2.678 ± 2.387,1.969 ± 1.854,2.129 ± 1.910
DIABETES,OMNI5,2.372 ± 2.211,1.198 ± 1.099,2.159 ± 2.007,1.477 ± 1.393,1.782 ± 1.616
DIABETES,LPS_0.5,4.206 ± 3.926,3.204 ± 2.819,5.106 ± 4.479,4.132 ± 3.590,4.332 ± 3.848
DIABETES,LPS_0.75,3.642 ± 3.345,2.643 ± 2.476,4.401 ± 3.798,3.405 ± 3.004,4.031 ± 3.490
DIABETES,LPS_1.0,3.200 ± 3.037,2.433 ± 2.031,3.990 ± 3.467,3.148 ± 2.861,3.486 ± 3.031
DIABETES,LPS_1.25,3.019 ± 2.910,2.292 ± 2.103,3.519 ± 3.160,2.927 ± 2.608,2.986 ± 2.668
DIABETES,LPS_1.5,2.857 ± 2.558,2.104 ± 1.902,3.320 ± 2.859,2.775 ± 2.518,3.152 ± 2.682
DIABETES,LPS_2.0,2.505 ± 2.361,1.949 ± 1.807,2.961 ± 2.659,2.420 ± 2.234,2.724 ± 2.538
HEIGHT,GSA,7.764 ± 7.260,4.155 ± 3.585,5.850 ± 5.374,3.913 ± 3.683,5.527 ± 5.001
HEIGHT,JAPONICA,6.539 ± 6.004,3.804 ± 3.514,3.915 ± 3.530,3.342 ± 3.080,4.752 ± 4.537
