trait,array,AFR,AMR,EAS,EUR,SAS
BMI,GSA,6.707 ± 6.253,3.520 ± 3.288,5.610 ± 4.866,4.157 ± 3.535,4.446 ± 4.070
BMI,JAPONICA,5.857 ± 5.176,3.122 ± 2.880,3.538 ± 3.161,3.533 ± 3.233,3.719 ± 3.265
BMI,UKB_WCSG,6.068 ± 5.862,3.149 ± 3.121,4.818 ± 4.301,2.564 ± 2.229,3.595 ± 3.246
BMI,CYTOSNP,3.735 ± 3.665,2.298 ± 2.259,3.482 ± 3.231,2.295 ± 2.154,2.681 ± 2.487
BMI,PMRA,5.403 ± 4.869,3.560 ± 3.279,5.130 ± 4.588,3.710 ± 3.384,4.512 ± 4.167
BMI,PMDA,5.629 ± 4.904,3.201 ± 3.083,5.234 ± 4.822,3.167 ± 2.759,3.984 ± 3.810
BMI,OMNI2.5,2.189 ± 2.063,1.720 ± 1.526,2.089 ± 2.063,1.537 ± 1.479,1.728 ± 1.602
BMI,OMNI5,1.791 ± 1.778,1.333 ± 1.368,1.761 ± 1.599,1.087 ± 1.005,1.449 ± 1.397
BMI,LPS_0.5,3.760 ± 3.528,3.065 ± 2.717,4.656 ± 4.299,3.003 ± 2.815,3.542 ± 3.051
BMI,LPS_0.75,3.329 ± 3.234,2.419 ± 2.330,3.847 ± 3.489,2.715 ± 2.381,3.220 ± 3.050
BMI,LPS_1.0,2.996 ± 2.778,2.384 ± 2.174,3.521 ± 3.023,2.390 ± 2.181,2.885 ± 2.765
BMI,LPS_1.25,2.823 ± 2.798,2.020 ± 1.922,3.212 ± 2.993,2.217 ± 2.031,2.739 ± 2.382
BMI,LPS_1.5,2.645 ± 2.466,1.967 ± 1.859,2.838 ± 2.546,1.878 ± 1.742,2.313 ± 2.143
BMI,LPS_2.0,2.328 ± 2.186,1.766 ± 1.676,2.551 ± 2.221,1.702 ± 1.530,2.152 ± 2.003
DIABETES,GSA,6.684 ± 5.810,3.254 ± 2.949,5.023 ± 4.792,3.673 ± 3.357,4.277 ± 3.895
